State,Year,Visitors_000,,,,,,,,,,,,,
Johor,2017,"13,141",,,,,,,,,,,,,
Johor,2018,"13,487",,,,,,,,,,,,,
Johor,2019,"14,274",,,,,,,,,,,,,
Johor,2020,"7,243",,,,,,,,,,,,,
Johor,2021,"3,658",,,,,,,,,,,,,
Johor,2022,"12,376",,,,,,,,,,,,,
Johor,2023,"15,805",,,,,,,,,,,,,
Kedah,2017,"13,305",,,,,,,,,,,,,
Kedah,2018,"14,480",,,,,,,,,,,,,
Kedah,2019,"14,831",,,,,,,,,,,,,
Kedah,2020,"10,108",,,,,,,,,,,,,
Kedah,2021,"4,023",,,,,,,,,,,,,
Kedah,2022,"11,186",,,,,,,,,,,,,
Kedah,2023,"13,444",,,,,,,,,,,,,
Kelantan,2017,"9,624",,,,,,,,,,,,,
Kelantan,2018,"9,846",,,,,,,,,,,,,
Kelantan,2019,"10,986",,,,,,,,,,,,,
Kelantan,2020,"6,058",,,,,,,,,,,,,
Kelantan,2021,"1,921",,,,,,,,,,,,,
Kelantan,2022,"6,627",,,,,,,,,,,,,
Kelantan,2023,"7,549",,,,,,,,,,,,,
Melaka,2017,"12,625",,,,,,,,,,,,,
Melaka,2018,"13,123",,,,,,,,,,,,,
Melaka,2019,"13,979",,,,,,,,,,,,,
Melaka,2020,"7,275",,,,,,,,,,,,,
Melaka,2021,"3,878",,,,,,,,,,,,,
Melaka,2022,"11,757",,,,,,,,,,,,,
Melaka,2023,"15,559",,,,,,,,,,,,,
Negeri Sembilan,2017,"10,822",,,,,,,,,,,,,
Negeri Sembilan,2018,"12,802",,,,,,,,,,,,,
Negeri Sembilan,2019,"13,303",,,,,,,,,,,,,
Negeri Sembilan,2020,"7,918",,,,,,,,,,,,,
Negeri Sembilan,2021,"5,485",,,,,,,,,,,,,
Negeri Sembilan,2022,"11,490",,,,,,,,,,,,,
Negeri Sembilan,2023,"14,959",,,,,,,,,,,,,
Pahang,2017,"16,491",,,,,,,,,,,,,
Pahang,2018,"18,111",,,,,,,,,,,,,
Pahang,2019,"18,498",,,,,,,,,,,,,
Pahang,2020,"9,905",,,,,,,,,,,,,
Pahang,2021,"3,405",,,,,,,,,,,,,
Pahang,2022,"13,189",,,,,,,,,,,,,
Pahang,2023,"16,456",,,,,,,,,,,,,
Pulau Pinang,2017,"12,643",,,,,,,,,,,,,
Pulau Pinang,2018,"14,450",,,,,,,,,,,,,
Pulau Pinang,2019,"15,411",,,,,,,,,,,,,
Pulau Pinang,2020,"8,929",,,,,,,,,,,,,
Pulau Pinang,2021,"5,061",,,,,,,,,,,,,
Pulau Pinang,2022,"10,003",,,,,,,,,,,,,
Pulau Pinang,2023,"13,128",,,,,,,,,,,,,
Perak,2017,"20,110",,,,,,,,,,,,,
Perak,2018,"17,553",,,,,,,,,,,,,
Perak,2019,"21,070",,,,,,,,,,,,,
Perak,2020,"13,173",,,,,,,,,,,,,
Perak,2021,"4,489",,,,,,,,,,,,,
Perak,2022,"14,567",,,,,,,,,,,,,
Perak,2023,"17,108",,,,,,,,,,,,,
Perlis,2017,"1,414",,,,,,,,,,,,,
Perlis,2018,"2,156",,,,,,,,,,,,,
Perlis,2019,"2,088",,,,,,,,,,,,,
Perlis,2020,"1,193",,,,,,,,,,,,,
Perlis,2021,407,,,,,,,,,,,,,
Perlis,2022,"1,669",,,,,,,,,,,,,
Perlis,2023,"1,951",,,,,,,,,,,,,
Sabah,2017,"17,792",,,,,,,,,,,,,
Sabah,2018,"20,360",,,,,,,,,,,,,
Sabah,2019,"22,035",,,,,,,,,,,,,
Sabah,2020,"10,337",,,,,,,,,,,,,
Sabah,2021,"3,815",,,,,,,,,,,,,
Sabah,2022,"12,589",,,,,,,,,,,,,
Sabah,2023,"16,080",,,,,,,,,,,,,
Sarawak,2017,"17,670",,,,,,,,,,,,,
Sarawak,2018,"19,380",,,,,,,,,,,,,
Sarawak,2019,"19,793",,,,,,,,,,,,,
Sarawak,2020,"9,393",,,,,,,,,,,,,
Sarawak,2021,"6,511",,,,,,,,,,,,,
Sarawak,2022,"15,465",,,,,,,,,,,,,
Sarawak,2023,"17,901",,,,,,,,,,,,,
Selangor,2017,"25,491",,,,,,,,,,,,,
Selangor,2018,"30,179",,,,,,,,,,,,,
Selangor,2019,"33,589",,,,,,,,,,,,,
Selangor,2020,"19,715",,,,,,,,,,,,,
Selangor,2021,"10,212",,,,,,,,,,,,,
Selangor,2022,"21,990",,,,,,,,,,,,,
Selangor,2023,"27,579",,,,,,,,,,,,,
Terengganu,2017,"12,979",,,,,,,,,,,,,
Terengganu,2018,"13,742",,,,,,,,,,,,,
Terengganu,2019,"14,158",,,,,,,,,,,,,
Terengganu,2020,"7,420",,,,,,,,,,,,,
Terengganu,2021,"3,719",,,,,,,,,,,,,
Terengganu,2022,"10,233",,,,,,,,,,,,,
Terengganu,2023,"11,761",,,,,,,,,,,,,
Kuala Lumpur,2017,"19,049",,,,,,,,,,,,,
Kuala Lumpur,2018,"19,165",,,,,,,,,,,,,
Kuala Lumpur,2019,"22,633",,,,,,,,,,,,,
Kuala Lumpur,2020,"12,435",,,,,,,,,,,,,
Kuala Lumpur,2021,"9,116",,,,,,,,,,,,,
Kuala Lumpur,2022,"16,913",,,,,,,,,,,,,
Kuala Lumpur,2023,"22,233",,,,,,,,,,,,,
Labuan,2017,381,,,,,,,,,,,,,
Labuan,2018,545,,,,,,,,,,,,,
Labuan,2019,524,,,,,,,,,,,,,
Labuan,2020,107,,,,,,,,,,,,,
Labuan,2021,54,,,,,,,,,,,,,
Labuan,2022,244,,,,,,,,,,,,,
Labuan,2023,331,,,,,,,,,,,,,
Putrajaya,2017,"1,872",,,,,,,,,,,,,
Putrajaya,2018,"1,892",,,,,,,,,,,,,
Putrajaya,2019,"1,949",,,,,,,,,,,,,
Putrajaya,2020,451,,,,,,,,,,,,,
Putrajaya,2021,223,,,,,,,,,,,,,
Putrajaya,2022,"1,306",,,,,,,,,,,,,
Putrajaya,2023,"1,900",,,,,,,,,,,,,
